/ Control Events;;;;;

EVT_OH_WARNING_TEST_MACH_IAS_2_PUSH;69934;302
EVT_OH_WARNING_TEST_STALL_1_PUSH;69935;303;;
EVT_OH_WARNING_TEST_STALL_2_PUSH;69936;304;;

/ Overhead - test gauge;;;;
EVT_OH_TRIM_AIR_SWITCH_TOGGLE;84832;15200;;/ user clicks a switch
EVT_OH_WING_BODY_OVERHEAT_TEST_PUSH;84833;15201;;/ user pushes a pushbutton 


/ Integrated Standby Flight Display - ISFD;;;;
EVT_ISFD_APP;70619;987;;/  
EVT_ISFD_HP_IN;70618;986;;/ 
EVT_ISFD_PLUS;70620;988;;/ 
EVT_ISFD_MINUS;70621;989;;/ 
EVT_ISFD_ATT_RST;70622;990;;/ 
EVT_ISFD_BARO;70623;991;;/ 
EVT_ISFD_BARO_PUSH;70625;993;;/ 

/ Analog standby instruments;;;;
EVT_STANDBY_ADI_APPR_MODE;70106;474;;/  
EVT_STANDBY_ADI_CAGE_KNOB;70108;476;;/  
EVT_STANDBY_ALT_BARO_KNOB;70124;492;;/  
EVT_RMI_LEFT_SELECTOR;70129;497;;/  
EVT_RMI_RIGHT_SELECTOR;70130;498;;/  


/ MCP;;;;
/;;;;
EVT_MCP_COURSE_SELECTOR_L;70008;376;;
EVT_MCP_FD_SWITCH_L;70010;378;;
EVT_MCP_AT_ARM_SWITCH;70012;380;;
EVT_MCP_N1_SWITCH;70013;381;;
EVT_MCP_SPEED_SWITCH;70014;382;;
EVT_MCP_CO_SWITCH;70015;383
EVT_MCP_SPEED_SELECTOR;70016;384
EVT_MCP_VNAV_SWITCH;70018;386
EVT_MCP_SPD_INTV_SWITCH;70019;387
EVT_MCP_BANK_ANGLE_SELECTOR;70021;389
EVT_MCP_HEADING_SELECTOR;70022;390
EVT_MCP_LVL_CHG_SWITCH;70023;391
EVT_MCP_HDG_SEL_SWITCH;70024;392
EVT_MCP_APP_SWITCH;70025;393
EVT_MCP_ALT_HOLD_SWITCH;70026;394
EVT_MCP_VS_SWITCH;70027;395
EVT_MCP_VOR_LOC_SWITCH;70028;396
EVT_MCP_LNAV_SWITCH;70029;397
EVT_MCP_ALTITUDE_SELECTOR;70032;400
EVT_MCP_VS_SELECTOR;70033;401
EVT_MCP_CMD_A_SWITCH;70034;402
EVT_MCP_CMD_B_SWITCH;70035;403
EVT_MCP_CWS_A_SWITCH;70036;404
EVT_MCP_CWS_B_SWITCH;70037;405
EVT_MCP_DISENGAGE_BAR;70038;406
EVT_MCP_FD_SWITCH_R;70039;407
EVT_MCP_COURSE_SELECTOR_R;70041;409
EVT_MCP_ALT_INTV_SWITCH;70517;885

/ EFIS Captain control panel;;
/;;
/ NOTE: Order in captain and F/O sides must be same, and events in both sides must increase by 1;;
/;;
EVT_EFIS_CPT_MINIMUMS;69987;355

EVT_EFIS_CPT_MINIMUMS_RADIO_BARO;69988;356
EVT_EFIS_CPT_MINIMUMS_RST;69989;357
EVT_EFIS_CPT_VOR_ADF_SELECTOR_L;69990;358
EVT_EFIS_CPT_MODE;69991;359
EVT_EFIS_CPT_MODE_CTR;69992;360
EVT_EFIS_CPT_RANGE;69993;361
EVT_EFIS_CPT_RANGE_TFC;69994;362
EVT_EFIS_CPT_FPV;69995;363
EVT_EFIS_CPT_MTRS;69996;364
EVT_EFIS_CPT_BARO;69997;365
EVT_EFIS_CPT_BARO_IN_HPA;69998;366
EVT_EFIS_CPT_BARO_STD;69999;367
